"emp_no","first_name","last_name","hire_date"
282401,"Maya","Ghemri","1986-06-12"
448744,"Eishiro","Dichev","1986-04-29"
412003,"Hausi","Kambil","1986-07-03"
470872,"Feipei","Clouatre","1986-03-05"
477276,"Susumu","Kuszyk","1986-12-12"
255984,"Stein","Kulisch","1986-06-11"
59237,"Gen","Lundstrom","1986-05-29"
226582,"Reinhard","Serre","1986-07-14"
407712,"Alain","Fujisaki","1986-04-07"
284009,"Alain","Dratva","1986-04-23"
481981,"Claudi","Spieker","1986-04-23"
205030,"Dulce","Ebeling","1986-03-18"
493647,"Jayson","Perri","1986-03-23"
25058,"Steen","Hofman","1986-10-08"
202663,"Mads","Legleitner","1986-07-11"
243221,"Gio","Schauser","1986-10-23"
418783,"Takanari","Beznosov","1986-06-10"
454064,"Gita","Dichev","1986-11-01"
451057,"Barna","Mamelak","1986-01-17"
460398,"Junsik","Sinitsyn","1986-11-21"
54259,"Snehasis","Anily","1986-03-03"
269252,"Behnaam","Schwartzbauer","1986-10-17"
493767,"Shem","Petersohn","1986-07-08"
95609,"Mokhtar","Chiodo","1986-04-06"
254823,"Serif","Streit","1986-03-17"
481764,"Teiji","Marrakchi","1986-08-26"
210879,"Nathan","Denny","1986-09-16"
411230,"Hauke","Giaccio","1986-12-12"
406838,"Aral","Baik","1986-03-29"
209232,"Seongbin","Poupard","1986-09-29"
493160,"Tze","Chinin","1986-09-22"
461985,"Joydip","Terkki","1986-03-01"
56169,"Jeanne","Zlotek","1986-09-03"
475302,"Mikhail","Karner","1986-05-15"
232004,"Guenter","Schneeberger","1986-04-20"
269926,"Boriana","Mukaidono","1986-08-27"
249074,"Kristen","Avouris","1986-09-13"
487286,"Insup","Copas","1986-01-03"
240893,"Mayumi","Wuwongse","1986-11-20"
64494,"Dipankar","Riesenhuber","1986-11-25"
226146,"Shichao","Syrzycki","1986-01-10"
265417,"Marin","Sidje","1986-10-24"
232530,"Boguslaw","Luks","1986-05-07"
414721,"Shigeu","Kieras","1986-01-30"
200095,"Isamu","Kobuchi","1986-02-02"
231755,"Xuedong","Sgarro","1986-12-24"
430534,"Ghassan","Walston","1986-06-15"
73203,"Armond","Karunanithi","1986-11-13"
41857,"Munehiko","Beznosov","1986-01-03"
230701,"Kristen","Salverda","1986-07-29"
31605,"Kwok","Valiente","1986-12-30"
493569,"Mikhail","Salvesen","1986-08-09"
34704,"Jaques","Usery","1986-01-11"
23386,"Gunilla","Legleitner","1986-11-15"
447604,"Ibibia","Dayang","1986-01-29"
449958,"Richard","Godskesen","1986-03-22"
258138,"Rimli","Bellone","1986-02-03"
97407,"Hisao","Lodder","1986-05-08"
212702,"Pascal","Leslie","1986-12-22"
38055,"Jianwen","Baranowski","1986-05-09"
29237,"Gennadi","Beznosov","1986-06-25"
35948,"Serge","Sifakis","1986-06-07"
294628,"Yuuichi","Sadowski","1986-02-22"
490825,"Filipe","Ramamoorthy","1986-11-02"
66091,"Billur","Fiutem","1986-06-11"
469053,"Vidya","Dymetman","1986-01-01"
71123,"Sigeru","Langford","1986-05-17"
494470,"Marjo","Cools","1986-12-04"
425730,"Boriana","Wendorf","1986-10-06"
416575,"Shai","Olano","1986-11-15"
265606,"Boalin","Zhang","1986-12-23"
297761,"Mario","Narahari","1986-02-12"
93545,"Naftali","Syang","1986-01-28"
25477,"Lijia","Birta","1986-02-01"
279287,"Uli","Ranum","1986-02-26"
296003,"Gay","Khamsi","1986-05-27"
258420,"Arne","Geffroy","1986-09-07"
403699,"Mrinalini","Muntz","1986-04-28"
204125,"Feipei","Ligten","1986-04-29"
46055,"Charlene","Fabrizio","1986-02-13"
432533,"Kazuyasu","Pileggi","1986-01-16"
480318,"Temple","Zastre","1986-07-22"
244892,"Guther","Huxford","1986-11-20"
481377,"Yinghua","Petersohn","1986-09-25"
489916,"Steve","Munoz","1986-12-10"
42572,"Mads","Ramalingam","1986-08-01"
17548,"Xuedong","Fujisaki","1986-03-09"
244804,"Beshir","Serre","1986-12-08"
200833,"Ottavia","Perl","1986-07-01"
277453,"Abdelwaheb","Basawa","1986-10-28"
212125,"Xuedong","Rossi","1986-04-12"
107161,"Shawna","Leuchs","1986-09-08"
444290,"Harngdar","Gire","1986-02-11"
447561,"Constantine","Hedayat","1986-12-02"
88569,"Barton","Jenevein","1986-03-24"
448160,"Clyde","Perly","1986-09-10"
79979,"Yunming","Papsdorf","1986-12-29"
221087,"Tsz","Suppi","1986-03-08"
57740,"Georgi","Osgood","1986-10-26"
464322,"Sandeepan","Sessa","1986-06-22"
32908,"Ramzi","Thiria","1986-12-14"
258544,"Demos","Bahi","1986-10-05"
413598,"Boriana","Lunn","1986-08-06"
27885,"Ziya","Cronau","1986-09-14"
472430,"Lalit","Pellegrinelli","1986-08-29"
414260,"Sedat","Kuhnemann","1986-06-02"
27805,"Shay","Ranon","1986-10-06"
26581,"Mansur","Weiland","1986-07-19"
419898,"Zhanqiu","Merkl","1986-07-21"
89616,"Samphel","Tchuente","1986-06-23"
56217,"Gao","Zizka","1986-10-24"
233547,"Masali","Dichev","1986-02-02"
21992,"Yurii","Tetzlaff","1986-12-26"
422131,"Adin","Kleiser","1986-08-28"
244205,"Conor","Hofting","1986-07-03"
473793,"Petter","Serra","1986-07-05"
246249,"Jamaludin","Remmele","1986-06-14"
209012,"Vasilii","Karunanithi","1986-10-15"
232463,"Boutros","Lorys","1986-07-15"
65276,"Jiakeng","Suermann","1986-08-07"
41114,"Petter","Thummel","1986-09-16"
467857,"Kwok","Puoti","1986-08-27"
200358,"Lihong","Munke","1986-04-13"
35611,"Khue","Ramsak","1986-08-10"
102241,"Udo","Tetzlaff","1986-04-09"
498165,"Christoph","Stavenow","1986-04-12"
229788,"Yuichiro","Lund","1986-01-28"
415636,"Danel","Danecki","1986-05-04"
101477,"Kenroku","Piazza","1986-11-02"
90321,"Lijia","Selvestrel","1986-05-31"
94350,"Bodo","Bergere","1986-05-14"
29461,"Shridhar","Krychniak","1986-11-02"
85168,"Maik","Sevcikova","1986-04-12"
463240,"Temple","Alpin","1986-08-31"
20468,"Arnould","Farrar","1986-03-01"
257908,"Arco","Granlund","1986-11-22"
407920,"Quingbo","Leijenhorst","1986-02-17"
429678,"Wojceich","Benveniste","1986-06-23"
295494,"Charlene","Steenbeek","1986-07-19"
231401,"Fumino","Biran","1986-02-10"
52722,"Youssef","Zeidenstein","1986-10-26"
408540,"Danae","Hebert","1986-10-11"
493867,"Teruyuki","Angelov","1986-11-08"
104505,"Maren","Parascandalo","1986-07-06"
31719,"JoAnne","Caine","1986-10-15"
97787,"Jayson","Zumaque","1986-02-26"
273516,"Hilary","Ghazalie","1986-05-04"
271190,"Pradeep","Genther","1986-11-25"
226318,"Woody","Guerreiro","1986-10-09"
400986,"Kensei","Gist","1986-12-17"
296153,"Zvonko","Boguraev","1986-12-28"
223975,"Yongmin","Kusakabe","1986-01-26"
98267,"Lihong","Zwicker","1986-09-03"
488589,"Dietrich","Farrow","1986-02-16"
472633,"Rosalyn","Picaronny","1986-12-07"
12124,"Jingling","Schaaf","1986-06-29"
476126,"Wojceich","Bugaenko","1986-09-03"
295856,"Gill","Liesche","1986-02-27"
442969,"Yoshimitsu","Sgarro","1986-08-26"
487460,"Toong","Mitchem","1986-02-05"
94942,"Hercules","Ghalwash","1986-10-12"
293627,"Keiichiro","Szilard","1986-08-05"
472871,"Kellyn","Brookman","1986-03-25"
247279,"Monique","Radwan","1986-09-10"
246415,"Souichi","Fasbender","1986-12-11"
469198,"Xiping","Sewelson","1986-09-16"
41356,"Gil","Teitelbaum","1986-07-16"
436081,"Jaideep","Whittlesey","1986-09-30"
23396,"Hilari","Fairtlough","1986-11-11"
99119,"Zejun","Massonet","1986-10-20"
419555,"Amstein","Kugler","1986-09-02"
289620,"Atreyi","Rousseau","1986-04-13"
39598,"Behnaam","Docker","1986-02-25"
22186,"Duangkaew","Baaz","1986-12-17"
44398,"Shigehito","Matzat","1986-08-07"
62993,"Giordano","Bultermann","1986-06-01"
441725,"Ute","Ferriere","1986-12-01"
13398,"Fuqing","Valette","1986-03-10"
47147,"Avishai","Brodie","1986-05-10"
211398,"Vishwani","Thorensen","1986-07-19"
90125,"Shugo","Reghbati","1986-11-10"
101934,"Roselyn","Rosin","1986-02-16"
29191,"Ayakannu","Krogh","1986-08-02"
477428,"Qunsheng","Hanratty","1986-12-14"
31239,"Sven","Veccia","1986-03-07"
461062,"Ennio","Eterovic","1986-12-16"
299680,"Sadegh","Katalagarianos","1986-01-28"
283653,"Neelam","Camurati","1986-01-31"
205392,"Mani","Bolsens","1986-04-04"
417547,"Ohad","Sridhar","1986-08-05"
447975,"Suzette","Schneeberger","1986-11-23"
109998,"Mizuhito","Heping","1986-11-11"
27793,"Paraskevi","Merlo","1986-05-02"
476406,"Arunachalam","Milicia","1986-10-27"
63204,"Nechama","Yeung","1986-02-02"
405830,"Alselm","Foote","1986-05-01"
480555,"Tsutomu","Baik","1986-04-22"
98325,"Leni","Osgood","1986-08-05"
428036,"Petter","Talmon","1986-08-17"
27452,"Mang","Basawa","1986-02-10"
13286,"Basem","Smailagic","1986-11-09"
202161,"Takahira","Kusalik","1986-12-06"
90050,"Berthier","Pietrzykowski","1986-06-30"
286540,"Oldrich","Rotem","1986-03-06"
96508,"Kerhong","Rothenberg","1986-03-07"
425342,"Deborah","Ferretti","1986-12-17"
203023,"Xiaobin","Kitsuregawa","1986-06-30"
240142,"Dekang","Prampolini","1986-11-17"
456286,"Maria","Taubenfeld","1986-12-15"
204898,"Mohan","Sadowski","1986-07-30"
433950,"Xinyu","Heusch","1986-04-21"
445674,"Ioana","Gecsei","1986-03-11"
77664,"Alejandra","Doering","1986-02-24"
89126,"Arup","Hemaspaandra","1986-05-18"
454580,"Leon","Ruther","1986-02-17"
498736,"Yuping","Hofman","1986-09-03"
438601,"Mani","Barreiro","1986-12-25"
414397,"Tonia","Jenevein","1986-09-25"
446516,"Kristin","Schlegelmilch","1986-01-21"
51646,"Maren","Hellwagner","1986-05-08"
53874,"Bodo","Schade","1986-02-14"
489356,"Eckart","Burnard","1986-12-30"
279666,"Stepehn","Luca","1986-10-09"
253339,"Fabrizio","Erol","1986-02-28"
463927,"Lokesh","Kulisch","1986-04-22"
100280,"Abdelkader","Welham","1986-08-12"
472640,"Khun","Kobara","1986-01-11"
251371,"Jackson","Lorch","1986-12-05"
99996,"Gal","Melski","1986-10-12"
250261,"Xuejun","Baig","1986-05-30"
11259,"Amalendu","Gronowski","1986-12-26"
428971,"Aamer","Belinskaya","1986-12-13"
19178,"Jaideep","Chinal","1986-04-30"
295738,"Kazuhira","Holburn","1986-11-04"
486330,"Masaki","Cyre","1986-09-20"
41337,"Kiyokazu","Copas","1986-08-24"
280448,"Theron","Aamodt","1986-03-16"
462511,"Takushi","Georg","1986-02-13"
402218,"Aiichiro","Poupard","1986-05-30"
438993,"Alassane","Conte","1986-07-31"
90456,"Jamaludin","Masamoto","1986-01-26"
240936,"Shahid","Tanemo","1986-05-29"
215164,"Oksana","Riesenhuber","1986-06-05"
59288,"Xuejun","Marrevee","1986-09-03"
85787,"Youngkon","Kugler","1986-06-24"
91381,"Mohan","Auyong","1986-02-05"
478472,"Jiafu","Gulak","1986-05-13"
416903,"Piyawadee","England","1986-06-06"
402154,"Genta","Baca","1986-08-21"
481795,"Gil","Roisin","1986-10-15"
445077,"Parke","Marquardt","1986-04-29"
418788,"Boguslaw","Wolniewicz","1986-08-26"
258974,"Jinpo","Pusterhofer","1986-04-19"
292635,"Junsik","Griswold","1986-05-30"
90020,"Oldrich","Holburn","1986-05-31"
225612,"Manu","Ellozy","1986-11-18"
471518,"Kankanahalli","Tokunaga","1986-11-14"
19135,"Leaf","Soicher","1986-08-21"
420522,"Tua","Kadhim","1986-09-01"
233382,"Bojan","Diderrich","1986-04-16"
203882,"Haldon","Schoegge","1986-06-07"
466244,"Radhakrishnan","Antonisse","1986-09-12"
206706,"Abdelaziz","Klyachko","1986-01-20"
499091,"Elvis","Kohling","1986-02-25"
77601,"Frederique","Toyoshima","1986-05-03"
32123,"Otilia","Ritzmann","1986-06-22"
233539,"Sumant","Rossi","1986-03-27"
59111,"Takahiro","Shinomoto","1986-04-30"
39643,"Olivera","Langford","1986-02-19"
293803,"Laurentiu","Halevi","1986-06-17"
291172,"Herb","Gewali","1986-11-11"
493958,"Renny","Zuberek","1986-08-01"
71229,"Taiji","Segond","1986-06-23"
12082,"Xinan","Yamaashi","1986-01-29"
45125,"Kaijung","Raney","1986-10-16"
273990,"Bader","Pellegrinelli","1986-11-19"
38310,"Reuven","Asmuth","1986-12-20"
223714,"Christoph","Gulik","1986-02-17"
64477,"Boaz","Belinskaya","1986-03-16"
461414,"Mayumi","Czap","1986-01-16"
108813,"Marla","Baar","1986-06-16"
295693,"Conrado","Deville","1986-06-04"
202998,"Giri","Basagni","1986-11-14"
213117,"Torsten","Lienhardt","1986-08-19"
33340,"Gila","Lamma","1986-07-17"
451983,"Christoper","Shackel","1986-06-03"
76714,"Mari","Waschkowski","1986-05-05"
257455,"Maris","Dratva","1986-11-04"
208919,"Wanqing","Vidal","1986-04-28"
83208,"Niclas","Buchter","1986-03-29"
43883,"Zhigen","Aseltine","1986-01-23"
495104,"Marit","McDermid","1986-08-20"
12327,"DAIDA","Bruckman","1986-10-16"
36250,"Augustine","Gomatam","1986-07-23"
258584,"Howell","Takkinen","1986-06-02"
462894,"Mari","Kambil","1986-08-26"
99822,"Hideo","Maquelin","1986-04-19"
24483,"Filipe","Muhlberg","1986-09-23"
411266,"Douadi","Schwaller","1986-11-30"
472379,"Taiji","Lorie","1986-07-19"
14237,"Abdulla","Gerlach","1986-06-13"
89152,"Yucel","Kowalchuk","1986-05-29"
471056,"Parto","Poupard","1986-02-19"
414180,"Kinh","Dengi","1986-09-10"
220868,"Christoph","Lovengreen","1986-08-24"
279464,"Weicheng","Parascandalo","1986-06-02"
208932,"Irene","Kolvik","1986-11-09"
294729,"Youjian","Chiola","1986-12-12"
88222,"Karsten","Geffroy","1986-08-13"
98713,"Stabislas","Luit","1986-02-23"
285261,"Pragnesh","Acton","1986-11-04"
409955,"Gennadi","Soicher","1986-02-20"
448832,"Paddy","Gien","1986-03-14"
244057,"Vishwani","Erdmenger","1986-02-03"
279610,"Zongyan","Jeansoulin","1986-08-01"
418745,"Elrique","Ravishankar","1986-09-05"
478786,"Guadalupe","Stavenow","1986-03-30"
457311,"Tsvetan","Stranks","1986-05-20"
423573,"Khue","Keohane","1986-07-20"
237357,"Tayeb","Grospietsch","1986-11-30"
23283,"Jingling","Kavanagh","1986-04-17"
101701,"Jordanka","Stentiford","1986-05-05"
89481,"Eishiro","Khalil","1986-10-13"
234891,"Ravishankar","Erez","1986-06-22"
107185,"Tzvetan","Zweizig","1986-03-14"
441550,"Heather","Hitomi","1986-05-23"
469483,"Howell","Kruskal","1986-07-14"
470859,"Serif","Adachi","1986-02-17"
290254,"Vugranam","Roohalamini","1986-06-12"
245106,"Goo","Wroclawski","1986-12-14"
281463,"Subir","Matzel","1986-06-20"
421046,"Olivera","Swiss","1986-12-02"
271104,"Demin","Byoun","1986-03-07"
63929,"Munir","Veldwijk","1986-03-17"
249548,"Freyja","Jiafu","1986-03-23"
10776,"Mahmut","Skafidas","1986-03-16"
435486,"KayLiang","Fargier","1986-02-23"
84903,"Billie","Macedo","1986-10-03"
28937,"Srinidhi","Vickson","1986-06-07"
467322,"Boutros","Ozeri","1986-07-19"
234578,"Miyeon","Ullian","1986-10-19"
56395,"Make","Schaad","1986-10-08"
403546,"Pranjal","Mukaidono","1986-06-15"
98812,"Jungsoon","Fadgyas","1986-06-21"
16441,"Amabile","Schaaf","1986-08-28"
237775,"Nevin","Fadgyas","1986-02-18"
438398,"Chuanyi","Schaad","1986-09-25"
235817,"Mingsen","Sidou","1986-08-11"
247118,"Khaled","Panwar","1986-07-06"
60734,"Satosi","Kakkad","1986-10-21"
440504,"Ebbe","Ermel","1986-06-15"
265733,"Adly","Pelc","1986-01-11"
210620,"Anyuan","Bierman","1986-06-13"
84783,"Aamod","Shumilov","1986-09-18"
89519,"Vasilis","Szilard","1986-07-29"
256335,"Flemming","Baba","1986-02-12"
461405,"Shigenori","Fadgyas","1986-12-02"
259202,"Bodh","Moehrke","1986-01-11"
217764,"Ingmar","Massonet","1986-03-31"
52790,"Freyja","Chinal","1986-11-08"
449053,"Genki","Kragelund","1986-03-28"
106009,"Niteen","Ruther","1986-12-11"
268295,"Vidya","Lambe","1986-07-16"
422696,"Debatosh","Botman","1986-03-15"
476196,"Kiam","Botman","1986-11-17"
290021,"Akemi","Salvesen","1986-11-14"
273299,"Takushi","Kalorkoti","1986-06-21"
450907,"Mitsuyuki","Jarecki","1986-01-12"
485904,"Anyuan","Cannane","1986-02-02"
200312,"Akemi","Fujisaki","1986-12-16"
260930,"Zita","Feinberg","1986-04-21"
34531,"Erez","Picaronny","1986-12-22"
479437,"Karlis","Merkl","1986-05-05"
92248,"Alejandro","Liesche","1986-09-08"
28935,"Lucien","Riesenhuber","1986-09-04"
35206,"Akhilish","Kamber","1986-04-29"
298044,"Jaideep","Koshiba","1986-09-16"
296279,"Valeri","Kossowski","1986-03-04"
479402,"Martina","Perfilyeva","1986-01-12"
479546,"Toong","Shinomoto","1986-01-27"
415673,"Boutros","Chiodo","1986-08-10"
243002,"Chrisa","Zeleznik","1986-12-09"
287898,"Kazuhisa","Underwood","1986-05-29"
215857,"Luerbio","Nilsson","1986-11-17"
268347,"Jiang","Angelov","1986-12-12"
72087,"Teiji","Chartres","1986-04-04"
65115,"Goetz","Anido","1986-10-26"
257270,"Tomokazu","Muhlberg","1986-12-18"
202919,"Ult","Eugenio","1986-07-11"
458251,"Mohd","Fujisawa","1986-09-07"
404002,"Martial","Molenaar","1986-03-30"
96907,"Masamitsu","Hiraishi","1986-04-10"
433303,"Conrado","Rettelbach","1986-03-20"
65537,"Thodoros","Luders","1986-11-09"
288345,"Tuval","Lamparter","1986-11-06"
229127,"Demin","Daescu","1986-09-19"
224360,"Ziva","Fiutem","1986-01-28"
62141,"Yagil","Apsitis","1986-09-18"
47908,"Khalil","Bolsens","1986-08-04"
97926,"Krisda","Thibadeau","1986-03-08"
52096,"Tomokazu","Yetim","1986-07-06"
234193,"Georgy","Bouloucos","1986-10-16"
229627,"Samphel","Uehara","1986-09-29"
230595,"Mansur","Riesenhuber","1986-09-15"
490184,"Reinhold","Perz","1986-05-15"
19937,"Flemming","Kavanagh","1986-11-03"
457769,"Serge","Chaudhury","1986-01-04"
467598,"Demin","Silva","1986-04-27"
20902,"Rasikan","Beetstra","1986-03-05"
408365,"Kamakshi","Chachaty","1986-08-27"
98972,"Yuguang","Marquardt","1986-12-27"
400866,"Heather","Ratzlaff","1986-02-08"
496521,"Yinghua","Baca","1986-03-16"
450897,"Kwee","Snedden","1986-06-20"
58151,"Masanao","Smeets","1986-04-06"
207688,"Juichirou","Marshall","1986-02-22"
408632,"Mooi","Casley","1986-10-29"
90009,"Denny","Ozeki","1986-11-17"
258762,"Chriss","Genther","1986-08-25"
287341,"Jiann","McFarlan","1986-02-04"
51291,"Gila","Schreiter","1986-07-06"
437470,"Rasiah","Bouloucos","1986-02-16"
107021,"Dung","Zongker","1986-05-29"
98791,"Karlis","Chimia","1986-12-12"
423021,"Elliott","Pluym","1986-04-23"
218796,"Elzbieta","Thiria","1986-03-21"
457048,"Zongyan","Linares","1986-04-15"
278648,"Moto","Christianini","1986-05-03"
258864,"Susanta","Avouris","1986-07-16"
53459,"Salvador","Berstel","1986-02-05"
204908,"Quingbo","Schurmann","1986-08-31"
474917,"Kwun","Figueira","1986-05-27"
452566,"Pranav","Chenney","1986-01-16"
430217,"Freyja","Oaver","1986-10-21"
281983,"Kiyotoshi","Klyachko","1986-04-13"
495280,"Douadi","Khalil","1986-09-08"
414544,"Bowen","Alvarado","1986-10-30"
405451,"Ipke","Daescu","1986-11-18"
443522,"Xiaobin","Crooks","1986-05-17"
204745,"Oscar","Masaki","1986-07-26"
69480,"Jordanka","Demizu","1986-05-08"
496464,"Zine","Radhakrishnan","1986-11-19"
293487,"Nathan","Haldar","1986-06-11"
420151,"Khoa","Maierhofer","1986-08-14"
479863,"Sushant","Reghbati","1986-09-08"
433039,"Pasqua","Borstler","1986-04-11"
419374,"Yoshinari","Pollacia","1986-01-29"
51089,"Remmert","Feldhoffer","1986-04-01"
450052,"Palash","Onuegbe","1986-02-03"
270374,"Shawna","Bardell","1986-10-23"
402213,"Pasqua","Marzano","1986-09-05"
257484,"Shaowei","Nicolson","1986-07-19"
37104,"Junichi","Trelles","1986-12-05"
422028,"Mamdouh","Ghandeharizadeh","1986-01-08"
275542,"Magy","Assaf","1986-07-07"
49417,"Woody","Yavatkar","1986-10-14"
57325,"Hidde","Akiyama","1986-02-15"
69456,"Berni","Zeleznik","1986-08-23"
79936,"Boaz","Giveon","1986-10-19"
88478,"Gino","Pashtan","1986-08-03"
17018,"Berhard","Tasistro","1986-02-20"
58516,"Xianlong","Knightly","1986-05-09"
485000,"Conor","Quaggetto","1986-10-08"
278450,"Atreye","Redmiles","1986-01-21"
432956,"Qunsheng","Birrer","1986-05-13"
469786,"Goh","Benaini","1986-04-03"
41565,"Giap","Krychniak","1986-04-05"
107654,"Bernd","Speek","1986-12-20"
70149,"Taiji","Hainaut","1986-02-03"
77073,"Lalit","Colorni","1986-08-11"
228622,"Zorica","Hiroyama","1986-06-16"
252157,"Girolamo","Streit","1986-02-07"
84419,"Hailing","Foote","1986-04-21"
449659,"Jaewoo","Ratnaker","1986-06-02"
498214,"Toshimori","Cronin","1986-08-24"
259935,"Frazer","Pellegrinelli","1986-05-23"
221360,"Dulce","Meszaros","1986-04-25"
280677,"Kerryn","Fargier","1986-06-13"
63272,"Aksel","Weiland","1986-08-26"
201965,"Frazer","Pleszkun","1986-06-19"
252070,"Valeska","Katalagarianos","1986-03-08"
212666,"Mohua","Marchesini","1986-08-20"
62048,"Susumu","Foote","1986-05-21"
270205,"Youjian","Ranta","1986-07-04"
32226,"Pranay","Perez","1986-05-13"
232727,"Sastry","Jonsson","1986-05-01"
432233,"Goetz","Hitomi","1986-08-29"
73790,"Kazunori","Pepe","1986-09-11"
221086,"Baziley","Motley","1986-02-20"
61393,"Gadiel","Krychniak","1986-02-20"
466655,"Goetz","Melichar","1986-11-09"
261279,"Ghassan","Sgarro","1986-07-12"
260552,"Danel","Laurillard","1986-06-23"
261298,"Ottavia","Ventosa","1986-01-04"
213183,"Gilbert","Trelles","1986-09-22"
218039,"Jeanne","Hettesheimer","1986-02-16"
64058,"Mayuri","Bernick","1986-12-17"
33855,"Ronnie","Rathonyi","1986-02-19"
253125,"Khalil","Percebois","1986-03-13"
245868,"Leandro","Bondorf","1986-09-05"
104755,"Tetsurou","Zschoche","1986-10-27"
33341,"Xiadong","Huxford","1986-01-11"
270505,"Chriss","Baez","1986-09-22"
61486,"Weiye","Bierman","1986-06-19"
444253,"Yifei","Merli","1986-06-07"
211909,"Siddarth","Baca","1986-11-05"
428609,"Stevo","Riexinger","1986-09-28"
295627,"Richard","Borovoy","1986-01-23"
109994,"Guangming","Takkinen","1986-05-24"
227192,"Shuky","Gente","1986-09-16"
417123,"Shao","Ramsak","1986-04-07"
494510,"Fumiyo","DuCasse","1986-10-01"
210958,"Eirik","Paludetto","1986-06-09"
439488,"Olivera","Landherr","1986-06-23"
486591,"Irena","Rikino","1986-03-08"
477314,"Premal","Hanratty","1986-09-08"
59232,"Stafford","Panangaden","1986-12-21"
492240,"Garnik","Litzkow","1986-10-01"
414157,"Moon","Schwabacher","1986-05-19"
60024,"Sakthirel","Ramsak","1986-09-04"
99964,"Maia","Levasseur","1986-12-12"
294517,"Weiwu","Selenyi","1986-02-17"
58419,"Yurii","Ranst","1986-11-01"
209477,"Teiji","Wuwongse","1986-07-18"
17418,"Hsiangchu","Biros","1986-08-02"
442376,"Toshimori","Straney","1986-03-10"
76562,"Renee","Basart","1986-10-30"
261628,"Arvin","Rajaraman","1986-06-23"
69074,"Gao","Poehlman","1986-11-26"
454160,"Niclas","Dalphin","1986-01-25"
74282,"Cordelia","Schwabacher","1986-06-19"
465058,"Hitomi","Herber","1986-02-02"
255203,"Koldo","Detkin","1986-06-28"
100523,"Olivera","Shumilov","1986-03-19"
